"Distance [mm]","bx []"
8.200082,0.772062777397643
8.2400824,0.771152154571394
8.2800828,0.770241531745145
8.3200832,0.769330908918897
8.3600836,0.768420286092649
8.400084,0.7675096632664
8.4400844,0.76671014193396
8.4800848,0.765926344605138
8.5200852,0.765142547276317
8.5600856,0.764358749947496
8.600086,0.763574952618675
8.6400864,0.762791155289854
8.6800868,0.762007357961033
8.7200872,0.761223560632212
8.7600876,0.760439763303391
8.800088,0.760407515573989
8.8400884,0.759884458864102
8.8800888,0.759361402154215
8.9200892,0.758838345444329
8.9600896,0.758315288734442
9.00009,0.757792232024555
9.0400904,0.757269175314669
9.0800908,0.756746118604782
9.1200912,0.756223061894896
9.1600916,0.755700005185009
9.200092,0.75527597063693
9.2400924,0.754856107344205
9.2800928,0.75443624405148
9.3200932,0.754016380758755
9.3600936,0.75359651746603
9.400094,0.753176654173305
9.4400944,0.75275679088058
9.4800948,0.752336927587855
9.5200952,0.751917064295129
9.5600956,0.751903479300861
9.600096,0.751766413235318
9.6400964,0.751629347169775
9.6800968,0.751492281104233
9.7200972,0.75135521503869
9.7600976,0.751218148973148
9.800098,0.751081082907605
9.8400984,0.750944016842062
9.8800988,0.75080695077652
9.9200992,0.750674268302556
9.9600996,0.750638820182157
10.0001,0.750603372061758
10.0401004,0.750567923941359
10.0801008,0.75053247582096
10.1201012,0.750497027700561
10.1601016,0.750461579580163
10.200102,0.750426131459763
10.2401024,0.750390683339365
10.2801028,0.750355235218966
10.3201032,0.751058424260876
10.3601036,0.751231726182827
10.400104,0.751405028104777
10.4401044,0.751578330026727
10.4801048,0.751751631948677
10.5201052,0.751924933870628
10.5601056,0.752098235792579
10.600106,0.752271537714529
10.6401064,0.752444839636479
10.6801068,0.752602831188743
10.7201072,0.753014912846787
10.7601076,0.75342699450483
10.800108,0.753839076162873
10.8401084,0.754251157820916
10.8801088,0.75466323947896
10.9201092,0.755075321137003
10.9601096,0.755487402795047
11.00011,0.75589948445309
11.0401104,0.756311566111133
11.0801108,0.756188904411283
11.1201112,0.756765206311924
11.1601116,0.757341508212565
11.200112,0.757917810113206
11.2401124,0.758494112013847
11.2801128,0.759070413914488
11.3201132,0.759646715815128
11.3601136,0.760223017715769
11.400114,0.760395553064296
11.4401144,0.761154441180313
11.4801148,0.76191332929633
11.5201152,0.762672217412347
11.5601156,0.763431105528364
11.600116,0.764189993644381
11.6401164,0.764948881760397
11.6801168,0.765707769876414
11.7201172,0.765823571976719
11.7601176,0.766794722231455
11.800118,0.767765872486189
11.8401184,0.768737022740924
11.8801188,0.76970817299566
11.9201192,0.770679323250395
11.9601196,0.771650473505129
12.00012,0.772621623759865
12.0401204,0.771594830947844
12.0801208,0.772720250697207
12.1201212,0.77384567044657
12.1601216,0.774971090195933
12.200122,0.776096509945297
12.2401224,0.77722192969466
12.2801228,0.778347349444024
12.3201232,0.779472769193386
12.3601236,0.78059818894275
12.400124,0.781757960819043
12.4401244,0.782927479141516
12.4801248,0.78409699746399
12.5201252,0.785266515786463
12.5601256,0.786436034108937
12.600126,0.78760555243141
12.6401264,0.788775070753884
12.6801268,0.789944589076357
12.7201272,0.789948604150185
12.7601276,0.791335443865484
12.800128,0.792722283580783
12.8401284,0.794109123296081
12.8801288,0.795495963011381
12.9201292,0.796882802726679
12.9601296,0.798269642441978
13.00013,0.799656482157276
13.0401304,0.795914392096828
13.0801308,0.797317542243277
13.1201312,0.798720692389726
13.1601316,0.800123842536175
